CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida
0021205012,0068,04/01/2021 04:00:00 AM,14,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 05:00:00 AM,13,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 06:00:00 AM,13.2,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 07:00:00 AM,15.3,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 08:00:00 AM,16.3,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 09:00:00 AM,17.7,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 10:00:00 AM,20.4,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 11:00:00 AM,21.8,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 12:00:00 PM,21.2,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/01/2021 01:00:00 PM,20.9,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
